id,type,text1,text2,text3,notes
ibo_graze,SHIP,"The Graze is a state of the art mobile suit series built by Gjallarhorn and deployed within the Earth Sphere and space. It is developed based on the Calamity War era mobile suit, V08-1228 Grimgerde and its Valkyrja Frame. An excellent machine with low development and operational cost, the Graze is said to be the culmination of current technology.

The machine's frame was carefully designed for general purpose use, and through exchanging armaments and armor, it can adapt to various environments as well as use various loadouts to meet the needs of different mission. The frame was also developed to be lighter and simpler; compared to the Gundam Frame that represents Calamity War era MS, the Graze’s frame is made using much lesser structural material.",,,
ibo_ryusei_go,SHIP,"An upgrade of the Graze Custom, equipment and technology from Teiwaz were used on the Mobile Suit. As a result, the suit now has shoulders and rear skirt armor derived from Teiwaz's Hyakuren, and although its weight increased, the new parts also grants it tougher armor and better attitude/posture control. Parts for attaching the Kutan Type-III's small side arm armor to the suit's legs were also incorporated. The small side arm armor helps to increase the Ryusei-Go's thrust, and gives its excellent performance in orbital combat despite the pull of gravity. The Ryusei-Go can also use the Kutan Type-III the standard way, with the small side arm armor still attached to the transport craft/booster.

The suit's control system has been changed as well, it is now connected to the Alaya-Vijnana System which is salvaged from a Man Rodi.",,,
ibo_mobile_worker,SHIP,It is a space-use version of the ground-use TK-53 CGS Mobile Worker. Space activity was made possible due to the installation of a propellant tank and replacement of the ground-use wheels with vernier nozzles.,,,
ibo_shiden,SHIP,"A mass production, general purpose model developed by Teiwaz based on the technology accumulated from the development of the Hyakuri and Hyakuren. The Shiden's Io Frame was designed from scratch, but as it shares the same design philosophy as the Hyakuri and Hyakuren's Teiwaz Frame, the two appear to be sister machines even to great technicians. Although the Io frame uses Ahab Reactor from the Calamity War era that was recovered from the Debris Zone, it is still extremely valuable as it uses the latest technology in the crafting of its frame material to its design and development.",,,
ibo_shiden_custom,SHIP,A customized Shiden Mobile Suit with a shield shoulder mount and a modified single horn faceplate.,,,
ibo_graze_dainsleif,SHIP,A Graze unit equipped with a Dáinsleif railgun mounted in place of it's left arm.,,,
ibo_shiden_ryusei,SHIP,"A customized Shiden Mobile Suit with a shield shoulder mount. This is a Shiden customized for Norba Shino's use, and at his request, shoulder thrusters were added and a gauntlet is equipped as part of its standard equipment.",,,
ibo_shiden_riden,SHIP,"A customized Shiden Mobile Suit with a shield shoulder mount. After Shino switched to the Gundam Flauros, his Shiden Custom was given to Ride Mass. It was then painted in a yellow-gold color scheme with a blue lightning motif on the left shoulder based on Ride's preferences.",,,
,,,,,
ibo_man_rodi_head,WEAPON,A set of dual vulcan guns put inside the head of  the Rodi. It allows it to deastroy in coming Mobile Suits.,,,
ibo_landman_rodi_head,WEAPON,A set of dual vulcan guns put inside the head of  the Rodi. It allows it to deastroy in coming Mobile Suits.,,,
,,,,,
ibo_graze_custom_left,WEAPON,"A rocket firing weapon developed for Graze's use, it is mounted on a special shoulder rack. If the grips are used, the bazooka can be fired without being mounted on the rack.",,,
ibo_graze_bazooka_right,WEAPON,"A rocket firing weapon developed for Graze's use, it is mounted on a special shoulder rack. If the grips are used, the bazooka can be fired without being mounted on the rack.",,,
ibo_graze_space_bazooka_right,WEAPON,"A rocket firing weapon developed for Graze's use, it is mounted on a special shoulder rack. If the grips are used, the bazooka can be fired without being mounted on the rack.",,,
ibo_shiden_bazooka_right,WEAPON,"A rocket firing weapon developed for Graze's use, it is mounted on a special shoulder rack. If the grips are used, the bazooka can be fired without being mounted on the rack.",,,
ibo_graze_bazooka_right_h,WEAPON,"A rocket firing weapon developed for Graze's use, it is mounted on a special shoulder rack. If the grips are used, the bazooka can be fired without being mounted on the rack.",,,
ibo_shiden_bazooka_right_p,WEAPON,"A rocket firing weapon developed for Graze's use, it is mounted on a special shoulder rack. If the grips are used, the bazooka can be fired without being mounted on the rack.",,,
,,,,,
ibo_shiden_right,WEAPON,"The standard range weapon of the Shiden, it is stored on the rear skirt armor when not in use. Typically, the suit would attack using the assault rifle while protecting itself with the riot shield.",,,
ibo_shiden_custom_right,WEAPON,"The standard range weapon of the Shiden, it is stored on the rear skirt armor when not in use. Typically, the suit would attack using the assault rifle while protecting itself with the riot shield.",,,
ibo_shiden_right_p,WEAPON,"The standard range weapon of the Shiden, it is stored on the rear skirt armor when not in use. Typically, the suit would attack using the assault rifle while protecting itself with the riot shield.",,,
ibo_shiden_custom_right_p,WEAPON,"The standard range weapon of the Shiden, it is stored on the rear skirt armor when not in use. Typically, the suit would attack using the assault rifle while protecting itself with the riot shield.",,,
ibo_shiden_right_ryusei,WEAPON,"The standard range weapon of the Shiden, it is stored on the rear skirt armor when not in use. Typically, the suit would attack using the assault rifle while protecting itself with the riot shield.",,,
ibo_shiden_right_riden,WEAPON,"The standard range weapon of the Shiden, it is stored on the rear skirt armor when not in use. Typically, the suit would attack using the assault rifle while protecting itself with the riot shield.",,,
,,,,,
ibo_graze_custom_right,WEAPON,"Graze's standard shooting armament. High accuracy, high utility value as the main or support weapon. The rifle has two magazines, one on each side.",,,
ibo_graze_right,WEAPON,"Graze's standard shooting armament. High accuracy, high utility value as the main or support weapon. The rifle has two magazines, one on each side.",,,
ibo_ryusei_go_right,WEAPON,"Graze's standard shooting armament. High accuracy, high utility value as the main or support weapon. The rifle has two magazines, one on each side.",,,
ibo_ryusei_go_left,WEAPON,"Graze's standard shooting armament. High accuracy, high utility value as the main or support weapon. The rifle has two magazines, one on each side.",,,
ibo_graze_space_right,WEAPON,"Graze's standard shooting armament. High accuracy, high utility value as the main or support weapon. The rifle has two magazines, one on each side.",,,
ibo_graze_right_h,WEAPON,"Graze's standard shooting armament. High accuracy, high utility value as the main or support weapon. The rifle has two magazines, one on each side.",,,
,,,,,
ibo_man_rodi_right,WEAPON,"A simple mobile suit-use submachine gun that is widely circulated, pirates favor the weapon due to its relatively low price. It can be fired single handedly or held with both hands, and during precision firing, the stock is extended.",,,
ibo_landman_rodi_right,WEAPON,"A simple mobile suit-use submachine gun that is widely circulated, pirates favor the weapon due to its relatively low price. It can be fired single handedly or held with both hands, and during precision firing, the stock is extended.",,,
,,,,,
ibo_man_rodi_left,WEAPON,"One hand grenade can be stored behind each side skirt armor. Besides the normal explosive grenade, there is also other variations like smoke grenade and their blast timing can be altered by shooting at it.",,,
ibo_landman_rodi_left,WEAPON,"One hand grenade can be stored behind each side skirt armor. Besides the normal explosive grenade, there is also other variations like smoke grenade and their blast timing can be altered by shooting at it.",,,
,,,,,
ibo_dainsleif,WEAPON,"A railgun modified to fire special projectiles made from the rare alloy used on mobile suit frames due to the use of superior mechanism, and during the Calamity War, they were heavily used as weapons that could even pierce nanolaminate armor.",,,
,,,,,
ibo_rifle_right,WEAPON,"The Mobile Worker possess two 30mm machine guns mounted on the hardpoints on either sides. While they are able to do damage to other mobile workers, they can barely do any damage to Mobile Suits due to their Nanolaminate Armor.",,,
ibo_rifle_left,WEAPON,"The Mobile Worker possess two 30mm machine guns mounted on the hardpoints on either sides. While they are able to do damage to other mobile workers, they can barely do any damage to Mobile Suits due to their Nanolaminate Armor.",,,
,,,,,
ibo_anti-aircraft_gun,WEAPON,This is an Anti-Aircraft gun. It was primarily made to counter Mobile Suits. This makes sure that Mobile Suits stay far away from you.,,,
ibo_autocannon_fixed,WEAPON,This cannon is commonly present and attached to Isaribi models. Because of it's small stature those cannons are not good to attack any ships.,,,
ibo_autocannon_rear,WEAPON,This cannon is commonly present and attached to Isaribi models. Because of it's small stature those cannons are not good to attack any ships.,,,
